TargetInterval(s),Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput (tps),Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
80,8,0,1,50TPS80sec,7180,32840,50.1,0.48,0.01,0.04,9.0,0.789,5,2159,840.0,2.6,45.6,3.0,156.0,2.46
80,8,1,1,50TPS80sec,7020,33000,50.1,0.54,0.01,0.05,12.0,0.76,7,2699,840.0,3.2,63.0,3.0,195.0,2.75
100,8,0,1,50TPS100sec,6880,33140,50.1,0.17,0.01,0.04,12.1,0.75,6,2399,837.0,2.9,29.4,3.0,51.0,3.17
100,8,1,1,50TPS100sec,7040,32980,50.1,0.19,0.01,0.05,12.5,0.667,6,2899,840.0,3.5,66.0,3.0,120.0,2.57
3,8,0,1,60TPS3sec,3800,44220,60.1,0.11,0.01,0.03,4.8,0.952,17,1539,867.0,1.8,47.6,3.0,216.0,1.67
3,8,1,1,60TPS3sec,3560,44460,60.1,0.08,0.01,0.03,4.5,0.956,16,719,861.0,0.8,41.4,3.0,123.0,4.62
5,8,0,1,60TPS5sec,3940,44080,60.1,0.09,0.01,0.03,4.9,0.956,11,759,849.0,0.9,41.7,3.0,141.0,4.44
5,8,1,1,60TPS5sec,4200,43820,60.1,0.10,0.01,0.03,5.3,0.925,18,899,867.0,1.0,39.4,3.0,135.0,4.3
10,8,0,1,60TPS10sec,4920,43100,60.1,0.19,0.01,0.03,6.8,0.935,10,1419,864.0,1.6,51.0,3.0,210.0,3.25
10,8,1,1,60TPS10sec,4180,43840,60.1,0.22,0.02,0.03,5.2,0.914,14,1139,849.0,1.3,60.0,3.0,156.0,3.0
20,8,0,1,60TPS20sec,4680,43340,60.1,0.17,0.01,0.03,5.9,0.875,11,1339,849.1,1.6,34.5,3.0,111.0,2.69
20,8,1,1,60TPS20sec,6240,41780,60.1,0.22,0.01,0.03,7.8,0.907,8,1899,849.0,2.2,64.3,3.0,141.0,2.55
30,8,0,1,60TPS30sec,4840,43180,60.1,0.18,0.01,0.03,6.1,0.842,10,1399,846.0,1.7,76.2,3.0,237.0,2.59
30,8,1,1,60TPS30sec,6320,41700,60.1,0.18,0.01,0.04,7.9,0.877,8,2279,843.0,2.7,49.7,3.0,189.0,1.93
40,8,0,1,60TPS40sec,5260,42760,60.1,0.12,0.01,0.04,6.6,0.841,n/a,n/a,n/a,n/a,n/a,n/a/,n/a,n/a
40,8,1,1,60TPS40sec,6200,41820,60.1,0.20,0.01,0.04,7.9,0.792,11,1059,846.0,1.3,63.4,3.0,168.0,5.08
50,8,0,1,60TPS50sec,8400,39620,60.1,0.23,0.01,0.04,10.5,0.865,6,2659,834.0,3.2,66.0,3.0,156.0,2.28
50,8,1,1,60TPS50sec,5980,42040,60.1,0.40,0.01,0.04,8.7,0.841,8,2699,837.0,3.2,66.9,3.0,162.0,1.72
60,8,0,1,60TPS60sec,5420,42600,60.1,0.15,0.01,0.03,7.5,0.757,10,1499,840.0,1.8,59.0,3.0,297.0,3.17
60,8,1,1,60TPS60sec,6160,41860,60.1,0.20,0.01,0.04,7.7,1.019,9,1479,585.0,2.5,30.4,3.0,102.0,2.08
80,8,0,1,60TPS80sec,6240,41780,60.1,0.74,0.01,0.04,8.6,0.754,15,3739,831.0,4.5,32.8,3.0,84.0,0.91
80,8,1,1,60TPS80sec,6940,41080,60.1,0.15,0.01,0.04,10.2,0.7,7,3579,837.0,4.3,48.5,3.0,108.0,1.37
100,8,0,1,60TPS100sec,6320,41700,60.1,0.18,0.01,0.04,9.8,0.81,5,1499,840.0,1.8,49.5,3.0,135.0,4.44
100,8,1,1,60TPS100sec,6400,41620,60.1,0.40,0.01,0.04,8.0,0.741,8,2899,837.0,3.5,64.3,3.0,150.0,1.29
