Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
4,7,1,sawtooth-poet-validator-r...-tp-3,47.0,47.0,0.00,0.00,10.3,0,0,0
4,7,1,sawtooth-settings-tp-3,20.8,20.8,0.00,0.00,10.3,0,0,0
4,7,1,sawtooth-rest-api-3,27.9,27.5,2.98,0.24,5.6,5.7,0,0
4,7,1,sawtooth-intkey-tp-python...ult-3,26.9,23.8,54.89,33.60,48.2,24.5,0,0
4,7,1,sawtooth-validator-0,444.4,284.3,113.68,86.10,53.4,464.5,0,0
4,7,1,sawtooth-validator-1,414.3,258.0,112.50,80.57,52.4,55.8,0,0
4,7,1,sawtooth-validator-2,398.0,256.4,112.35,82.47,52.5,55.9,0,0
4,7,1,sawtooth-validator-3,419.1,256.6,115.51,81.19,51.6,56.4,0,0
4,7,2,sawtooth-shell-default,38.9,14.9,96.81,29.14,585.9,4.2,0,0
4,7,2,sawtooth-poet-validator-r...-tp-2,46.6,46.6,0.00,0.00,10.3,0,0,0
4,7,2,sawtooth-rest-api-2,27.8,27.5,0.93,0.25,5.6,5.7,0,0
4,7,2,sawtooth-settings-tp-2,20.8,20.8,0.00,0.00,10.3,0,0,0
4,7,2,sawtooth-intkey-tp-python...ult-2,26.9,23.8,53.69,33.09,47.2,23.9,0,0
4,7,2,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,10.3,0,0,0
4,7,2,sawtooth-intkey-tp-python...ult-1,27.1,23.8,54.44,33.92,48.6,24.8,0,0
4,7,2,sawtooth-rest-api-1,28.2,27.6,0.96,0.24,5.6,5.7,0,0
4,7,2,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.00,0.00,10.5,0,0,0
4,7,2,sawtooth-poet-validator-r...-tp-0,47.1,47.1,0.00,0.00,10.5,0,0,0
4,7,2,sawtooth-rest-api-0,83.0,40.3,102.36,19.97,356.9,593.2,0,0
4,7,2,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.4,0,0,0
4,7,2,sawtooth-intkey-tp-python...ult-0,26.6,23.6,52.88,32.44,45.8,23.4,0,0
4,7,2,sawtooth-poet-validator-r...-tp-3,46.8,46.8,0.00,0.00,10.4,0,0,0
4,7,2,sawtooth-settings-tp-3,20.7,20.7,0.00,0.00,10.3,0,0,0
4,7,2,sawtooth-rest-api-3,27.4,27.2,2.36,0.24,5.6,5.7,0,0
4,7,2,sawtooth-intkey-tp-python...ult-3,27.0,23.9,54.33,33.41,48.1,24.6,0,0
4,7,2,sawtooth-validator-1,398.6,253.7,112.99,81.96,53.7,55.5,0,0
4,7,2,sawtooth-validator-2,406.9,258.6,106.62,79.63,50.9,56.0,0,0
4,7,2,sawtooth-validator-0,447.9,280.5,113.32,85.27,52.9,431.2,0,0
4,7,2,sawtooth-validator-3,384.2,260.5,115.97,82.79,53.3,85.5,0,0
4,10,0,sawtooth-intkey-tp-python...ult-3,26.5,23.5,55.15,31.05,46.3,23.6,0,0
4,10,0,sawtooth-settings-tp-3,20.5,20.5,0.00,0.00,10.2,0,0,0
4,10,0,sawtooth-rest-api-3,28.4,27.7,0.88,0.24,5.5,5.7,0,0
4,10,0,sawtooth-poet-validator-r...-tp-3,46.9,46.9,0.00,0.00,10.2,0,0,0
4,10,0,sawtooth-shell-default,32.9,14.7,88.05,31.62,590.3,4.3,0,0
4,10,0,sawtooth-settings-tp-2,20.7,20.7,0.00,0.00,10.2,0,0,0
4,10,0,sawtooth-rest-api-2,27.9,27.4,0.99,0.23,5.6,5.7,0,0
4,10,0,sawtooth-intkey-tp-python...ult-2,26.6,23.5,55.94,31.17,45.6,23.1,0,0
4,10,0,sawtooth-poet-validator-r...-tp-2,46.8,46.8,0.00,0.00,10.2,0,0,0
4,10,0,sawtooth-poet-validator-r...-tp-1,46.9,46.9,0.00,0.00,10.2,0,0,0
4,10,0,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,10.4,0,0,0
4,10,0,sawtooth-rest-api-1,28.2,27.3,0.84,0.22,5.6,5.7,0,0
4,10,0,sawtooth-intkey-tp-python...ult-1,26.9,23.7,54.58,32.15,47.7,24.3,0,0
4,10,0,sawtooth-rest-api-0,55.9,38.1,80.48,19.40,359.7,597.7,0,0
4,10,0,sawtooth-poet-validator-r...-tp-0,47.0,47.0,0.00,0.00,10.4,0,0,0
4,10,0,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.4,0,0,0
4,10,0,sawtooth-intkey-tp-python...ult-0,26.7,23.7,56.02,30.43,44.8,22.8,0,0
4,10,0,sawtooth-validator-2,391.1,281.0,111.42,81.86,50.5,52.2,0,0
4,10,0,sawtooth-validator-3,385.9,280.4,115.86,83.64,49.8,54.0,0,0
4,10,0,sawtooth-validator-1,366.6,272.2,113.79,82.81,50.1,55.8,0,0
4,10,0,sawtooth-validator-0,411.7,300.7,111.67,84.85,52.0,457.9,0,0
4,10,1,sawtooth-shell-default,46.5,16.2,92.05,27.28,686.4,4.9,0,0
4,10,1,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.6,0,0,0
4,10,1,sawtooth-intkey-tp-python...ult-0,26.3,23.8,52.32,28.61,42.4,21.6,0,0
4,10,1,sawtooth-rest-api-0,82.2,43.1,102.65,21.94,417.4,693.9,0,0
4,10,1,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.6,0,0,0
4,10,1,sawtooth-intkey-tp-python...ult-2,26.5,23.7,54.46,30.57,44.9,22.8,0,0
4,10,1,sawtooth-settings-tp-2,20.8,20.8,0.00,0.00,10.6,0,0,0
4,10,1,sawtooth-rest-api-2,27.9,27.3,2.34,0.24,5.6,5.7,0,0
4,10,1,sawtooth-poet-validator-r...-tp-2,46.8,46.8,0.00,0.00,10.6,0,0,0
